"product_id","product_title","product_level","product_type","travel_day","product_price","departure_code","des_city_code","toursim_tickets_type"
"210014296","<西塘2日游>宿景区内客栈，可升级景区内精品住宿，尽赏迷人夜景，门票全含 西塘夜景 纯玩0购物，6000多人出游畅销线","4","Y002","2天1晚","239","320100","330400","03001"
"210014486","<宏村-西递-翡翠谷-夹溪河漂流-香溪漂流双漂3日游>宿精品酒店   激情双漂   首道大门票全含","5","Y002","3天2晚","839","320100","341000","03001"
"210014508","<浙西2日游>龙井峡漂流记/峡谷探险大龙湾，宿新式农家乡野之趣/含1早2正餐，可优惠体验新晋网红三渡悬崖玻璃漂","4","Y002","2天1晚","322","320100","330100","03001"
"210014558","<横店影视城广州香港街-清明上河图-秦王宫2日游>宿快捷酒店，无购物，含四点联票","5","Y002","2天1晚","499","310000","330700","03001"
"210014559","<桐庐2日游>升级入住千岛湖镇中心酒店 挑战云飘飘玻璃桥 网红水溜溜悬崖玻璃滑道漂流 可选畅游千岛湖","4","Y002","2天1晚","392","320100","330100","03001"
"210014611","<黄山全景-宏村3日游>高铁北站参团（含接送站） 含180元阿菊秀 专业导游带队 1晚宿山上可升级 含2早 预订送登山三宝 暑期亲子游巨划算","4","Y002","3天2晚","773","341000","341000","03001"
"210014617","<天堂寨-白马大峡谷2日游>漂流季，植物王国，花的海洋之美称","5","Y002","2天1晚","267","340100","341500","03001"
"210014673","<宝泉汽车1日游>天天稳定发班，至诚服务，下单有惊喜","5","Y002","1天","99","410100","410700","03001"
"210014723","<雁荡山-灵岩-大龙湫2日游>高铁往返， 灵峰夜景全程0购物，常年发班，神奇山水 传奇温州","4","Y002","2天1晚","1003","320100","330300","03001"
"210014854","<黄山-西海大峡谷2日游>主城区上门接  含登山三宝 含往返景交 纯玩无购物 宿山上","4","Y002","2天1晚","618","330100","341000","03001"
"210014860","<普陀山跟团2日游>纯玩无购物，宿祥生大酒店，含88元/人自助早餐，免费配发无线讲解器，另可升级选购特色晚餐，港客专业导游引领","4","Y002","2天1晚","838","310000","330900","03001"
"210014869","<苏州-乌镇2日游>游中国四大名园之一、枕水人家、观千年古刹、享苏式生活","5","Y002","2天1晚","458","310000","330400","03001"
"210014934","<杭州西湖-西溪湿地-乌镇-西塘2日游>0购物，含3点门票及1早2正餐，杭州水乡连线精品游，浪漫双水乡感受夜西塘之魅力","4","Y002","2天1晚","436","340400","330100","03001"
"210014971","<千岛湖-黄山3日游>船游千岛湖，游山玩水，赏全景黄山，宿山上观日出日落，可升级住宿","5","Y002","3天2晚","798","330100","341000","03001"
"210014979","<上饶三清山巴士3日游>观仙境三清山奇松云海，婺源网红梯田人家篁岭，诗礼人家瑶湾，两晚连住不挪窝，轻装上阵，纯玩无购物","4","Y002","3天2晚","499","310000","361100","03001"
"210014989","<千岛湖3日游>1晚宿千岛湖镇商务酒店可升级高端住宿探秘大龙湾清凉溶洞瑶琳仙境船游富春江小三峡纯玩0购物","4","Y002","3天2晚","518","320100","330100","03001"
"210015001","<安吉2日游>大竹海、九龙峡白茶谷、仙山谷激情皮筏漂流 宿精品酒店 含丰富自助早","5","Y002","2天1晚","378","310000","330500","03001"
"210015054","<西塘大巴2日游>宿西塘景区内优选主题客栈 含景区大门票 夜游西塘 纯玩0购物  7000多人出游 多集合点可选","5","Y002","2天1晚","315","320100","330400","03001"
"210015060","<安吉3日游>萌娃亲子游、2晚连宿安吉大年初一风景度假村、 7月开启漂荷花山漂流、玩竹文化大竹海、登藏龙百瀑、观瀑布群、遇见就是风景","4","Y002","3天2晚","935","310000","330500","03001"
"210015196","<浙西-大明山2日游>精选440元网红三渡悬崖玻璃漂流、龙井峡刺激漂流、大明山登高避暑大门票全含，宿龙井村景区农家乐，含1早2正特色餐，惊险刺激无比","5","Y002","2天1晚","439","310000","330100","03001"
"210015231","<普陀山2日跟团游>可升级陆地头等舱巴士，宿岛内锦江之星， 游普陀山四大景点，天天发班，纯玩0购物，质量保证，安全无忧","4","Y002","2天1晚","538","310000","330900","03001"
"210015245","<惠州巴士2日游>巽寮湾网红浮潜、罗浮山、住高尔夫酒店（含25个高尔夫球）享渔夫参鲍宴、罗浮窑鸡宴 休闲美食纯玩","5","Y002","2天1晚","576","440300","441300","03001"
"210015328","<千岛湖-黄山2日游>森林氧吧，船游千岛湖，玩转大美黄山，游山玩水，带您嗨","4","Y002","2天1晚","618","330100","330100","03001"
"210015514","<芜湖方特2期-梦幻王国1日游>亲子开心乐园，含门票交通，纯玩无购物","4","Y002","1天","289","340400","340200","03001"
"210015615","<黄山-九龙瀑3日游>门票全含，占床含精美高山野茶礼包，可升级挂四住宿，游山玩水嗨起来","4","Y002","3天2晚","588","320100","341000","03001"
"210015630","<芜湖方特1期-欢乐世界1日游>挑战疯狂火流星，含门票交通导服，纯玩无购物","5","Y002","1天","289","340400","340200","03001"
"210015650","<龙潭峡大峡谷汽车1日游>网红吊桥、休闲山水","5","Y002","1天","109","410100","410300","03001"
"210015659","<横店影视城2日游>穿越横店，含清明上河图，明清宫苑，秦王宫、广州街香港街四大景区，宿舒适型酒店，梦幻谷水世界清凉来袭","5","Y002","2天1晚","398","310000","330700","03001"
"210015693","<九华山化城寺-百岁宫-天台正顶3日游>99米大佛，九华山大门票全含，纯玩无购物","4","Y002","3天2晚","565","310000","341700","03001"
"210015697","<衢州-七里乡-烂柯山-龙潭瀑布-千峰山3日游>纯玩无购物，休闲度假胜地 餐餐15菜一汤","4","Y002","3天2晚","399","310000","330800","03001"
"210015804","<张家界森林公园-天门山-玻璃栈道-凤凰古城汽车4日游>长沙19点出发直达张家界 含百龙天梯上行 勇闯玻璃栈道 含芙蓉镇 赏古城夜景 无购物","5","Y002","4天3晚","1143","430100","430800","03001"
"210015839","<九华山-莲花佛国3日游>2晚宿山上，门票景交全含，全景祈福观光，巴士往返，领佛珠","5","Y002","3天2晚","565","310000","341700","03001"
"210015963","<黄山-宏村3日游>暑期游黄山看日出云海、双世遗景点 一晚宿山上体验云海飘渺可观日出 一晚宿市区标间，门票全含，纯玩线路含2早餐","5","Y002","3天2晚","808","310000","341000","03001"
"210015991","<普陀山之旅-朱家尖巴士2日游>宿自在山庄，可升级祥生/梵心自选， 往返陆地头等舱巴士（免费茶水点心、管家贴心服务） 行程DIY","4","Y002","2天1晚","344","310000","330900","03001"
"210015997","<乌镇-杭州西湖汽车2日游>千年水乡，赏西湖美景，扬州镇江参团","5","Y002","2天1晚","316","321000","330400","03001"
"210016038","<万仙山-郭亮村汽车2日游>绝壁长廊，影视基地","5","Y002","2天1晚","240","410100","410700","03001"
"210016046","<五台山-五爷庙-殊像寺-黛螺顶-显通寺-镇海寺-罗睺寺2日游>祈福季，多上车地点，远离尘嚣禅五台 ，含酥油灯一盏","4","Y002","2天1晚","208","110000","140900","03001"
"210016052","<普陀山2日游>宿自在山庄，牛人专线私属全新大巴，可升级陆地头等舱巴士及开元观堂/息耒梵心行舍，含无线耳麦讲解器， 深度祈福之旅","4","Y002","2天1晚","558","310000","330900","03001"
"210016053","<黄山2日游>去程汽车，返程高铁，1晚宿山上，赠送登山三宝","5","Y002","2天1晚","918","310000","341000","03001"
